Entity,Day,reported_ari_cases
Albania,2009-07-06,8489
Albania,2009-07-13,0
Albania,2009-07-20,7535
Albania,2009-07-27,7181
Albania,2009-08-03,7312
Albania,2009-08-10,0
Albania,2009-08-17,0
Albania,2009-08-24,0
Albania,2009-08-31,0
Albania,2009-09-07,0
Albania,2009-09-14,8756
Albania,2009-09-21,0
Albania,2009-09-28,9172
Albania,2009-10-05,0
Albania,2009-10-12,0
Albania,2009-10-19,0
Albania,2009-10-26,10637
Albania,2009-11-02,11289
Albania,2009-11-09,12538
Albania,2009-11-16,13502
Albania,2009-11-23,16368
Albania,2009-11-30,15901
Albania,2009-12-07,15490
Albania,2009-12-14,13635
Albania,2009-12-21,13618
Albania,2009-12-28,10692
Albania,2010-01-04,10648
Albania,2010-01-11,13062
Albania,2010-01-18,0
Albania,2010-01-25,0
Albania,2010-02-01,0
Albania,2010-02-08,0
Albania,2010-02-15,13858
Albania,2010-02-22,0
Albania,2010-03-01,0
Albania,2010-03-08,0
Albania,2010-03-15,12217
Albania,2010-03-22,12102
Albania,2010-03-29,0
Albania,2010-04-05,0
Albania,2010-04-12,11338
Albania,2010-04-19,11700
Albania,2010-04-26,0
Albania,2010-05-03,0
Albania,2010-05-10,10864
Albania,2010-05-17,0
Albania,2010-05-24,11798
Albania,2010-05-31,0
Albania,2010-06-07,10433
Albania,2010-06-14,0
Albania,2010-06-21,0
Albania,2010-06-28,0
Albania,2010-07-05,8838
Albania,2010-07-12,0
Albania,2010-07-19,7543
Albania,2010-07-26,7560
Albania,2010-08-02,0
Albania,2010-08-09,0
Albania,2010-08-16,0
Albania,2010-08-23,8427
Albania,2010-08-30,8305
Albania,2010-09-06,8547
Albania,2010-09-13,0
Albania,2010-09-20,11497
Albania,2010-09-27,0
Albania,2010-10-04,10932
Albania,2010-10-11,0
Albania,2010-10-18,11287
Albania,2010-10-25,11426
Albania,2010-11-01,0
Albania,2010-11-08,0
Albania,2010-11-15,12491
Albania,2010-11-22,12219
Albania,2010-11-29,0
Albania,2010-12-06,11644
Albania,2010-12-13,0
Albania,2010-12-20,0
Albania,2010-12-27,11947
Albania,2011-01-03,11598
Albania,2011-01-10,12643
Albania,2011-01-17,0
Albania,2011-01-24,0
Albania,2011-01-31,15044
Albania,2011-02-07,0
Albania,2011-02-14,0
Albania,2011-02-21,0
Albania,2011-02-28,0
Albania,2011-03-07,0
Albania,2011-03-14,12825
Albania,2011-03-21,0
Albania,2011-03-28,0
Albania,2011-04-04,0
Albania,2011-04-11,0
Albania,2011-04-18,11095
Albania,2011-04-25,10884
Albania,2011-05-02,0
Albania,2011-05-09,0
Albania,2011-05-16,11062
Albania,2011-05-23,0
Albania,2011-05-30,10835
Albania,2011-06-06,10779
Albania,2011-06-13,0
Albania,2011-06-20,10000
Albania,2011-06-27,9322
Albania,2011-07-04,0
Albania,2011-07-11,8031
Albania,2011-07-18,0
Albania,2011-07-25,0
Albania,2011-08-01,0
Albania,2011-08-08,0
Albania,2011-08-15,0
Albania,2011-08-22,0
Albania,2011-08-29,7565
Albania,2011-09-05,7403
Albania,2011-09-12,0
Albania,2011-09-19,10308
Albania,2011-09-26,11006
Albania,2011-10-03,0
Albania,2011-10-10,0
Albania,2011-10-17,12327
Albania,2011-10-24,12427
Albania,2011-10-31,12259
Albania,2011-11-07,0
Albania,2011-11-14,12541
Albania,2011-11-21,0
Albania,2011-11-28,13679
Albania,2011-12-05,0
Albania,2011-12-12,0
Albania,2011-12-19,13453
Albania,2011-12-26,11971
